iter	MultiClass
0	0.9646884115
1	0.8600581673
2	0.7776146689
3	0.7076549007
4	0.6475719562
5	0.597197828
6	0.553790532
7	0.5187963558
8	0.4863931913
9	0.4590348166
10	0.4347994422
11	0.4133669832
12	0.3923651093
13	0.3741788942
14	0.3581895162
15	0.3453208198
16	0.3317487337
17	0.3207344483
18	0.3099046471
19	0.3008732638
20	0.2921689721
21	0.2852007926
22	0.2774471668
23	0.2711628141
24	0.2653843448
25	0.260320957
26	0.2552152605
27	0.2503846306
28	0.2464198415
29	0.2431380976
30	0.2392930469
31	0.2366702816
32	0.2334778934
33	0.2305546882
34	0.228228261
35	0.2256566184
36	0.2223218037
37	0.2205359902
38	0.2186144446
39	0.216655799
40	0.2148105337
41	0.2134970284
42	0.2115994302
43	0.2106000669
44	0.2092841385
45	0.2084546938
46	0.2072295423
47	0.2065717739
48	0.2052429969
49	0.2039545187
50	0.2032743531
51	0.2023971744
52	0.2015282043
53	0.2008022035
54	0.200330281
55	0.1996149521
56	0.1992992124
57	0.1986763232
58	0.1979077826
59	0.1972628873
60	0.196515927
61	0.1959530929
62	0.1955680326
63	0.1949805227
64	0.1943485462
65	0.1939194075
66	0.1934519687
67	0.1930653293
68	0.1927384079
69	0.1921301398
70	0.1916218181
71	0.1910979056
72	0.1910051942
73	0.190634477
74	0.1902424694
75	0.1897936021
76	0.1893707519
77	0.1891624234
78	0.1887012817
79	0.1883589608
80	0.1880065815
81	0.1876657892
82	0.1875343757
83	0.1872330668
84	0.1870716491
85	0.1867554943
86	0.1862519133
87	0.1859165957
88	0.1856959817
89	0.1853952
90	0.1851221686
91	0.1850180943
92	0.1847215462
93	0.184443227
94	0.1842561631
95	0.1839824465
96	0.1838380236
97	0.1836230715
98	0.1834680046
99	0.1828205131
100	0.1827197017
101	0.1826464891
102	0.182269491
103	0.1821069858
104	0.181652069
105	0.1815379902
106	0.1813044163
107	0.1808067777
108	0.1804848722
109	0.180375378
110	0.1802853704
111	0.1801496076
112	0.1799950053
113	0.1799005801
114	0.1797478894
115	0.1795605265
116	0.1794323898
117	0.1793317368
118	0.1791939935
119	0.179082406
120	0.178755338
121	0.1784333611
122	0.1781537988
123	0.1780558192
124	0.1780064974
125	0.1779021621
126	0.1776358943
127	0.1775014613
128	0.1774402315
129	0.1773606828
130	0.1772953221
131	0.1771557011
132	0.1769831678
133	0.1768661926
134	0.1765728515
135	0.1763085471
136	0.1761873227
137	0.1760250095
138	0.1759601688
139	0.175863257
140	0.1756825395
141	0.1756326453
142	0.175377126
143	0.1752470862
144	0.1751870704
145	0.1750946112
146	0.1749439078
147	0.1748585821
148	0.1746299011
149	0.1745401082
150	0.1743977184
151	0.1743249727
152	0.1742895873
153	0.1741979966
154	0.1740482231
155	0.174009143
156	0.1738891349
157	0.1736731284
158	0.173566418
159	0.1734658897
160	0.1734387014
161	0.173320965
162	0.1732682646
163	0.1732246769
164	0.1730912871
165	0.1730212543
166	0.1729643637
167	0.1726493895
168	0.1725808675
169	0.1725437549
170	0.1724235109
171	0.1723637093
172	0.1722784149
173	0.1722433095
174	0.1721753809
175	0.1721204481
176	0.1720735413
177	0.1720134783
178	0.1719385069
179	0.1716872576
180	0.1715080577
181	0.1714844665
182	0.1714393348
183	0.1712641461
184	0.1711232333
185	0.1706057193
186	0.170457552
187	0.1703588251
188	0.1702640836
189	0.1702231566
190	0.1701381309
191	0.1698798874
192	0.169811009
193	0.1697407585
194	0.1696457126
195	0.1695354268
196	0.1695025185
197	0.1694027784
198	0.1693500585
199	0.1693148212
200	0.1692401342
201	0.1690091794
202	0.1689871766
203	0.1689050698
204	0.1688494227
205	0.168780914
206	0.1686501301
207	0.1685381086
208	0.1684961999
209	0.1684273543
210	0.1684017021
211	0.1683499259
212	0.1682247202
213	0.1681078865
214	0.1680348319
215	0.1679152781
216	0.1678238629
217	0.1677377722
218	0.1677188999
219	0.1676427329
220	0.167447247
221	0.1674033749
222	0.1672546642
223	0.1671900964
224	0.1671571777
225	0.1670092785
226	0.1669307381
227	0.1668914237
228	0.1668024737
229	0.1665992714
230	0.1665463853
231	0.166453466
232	0.1663618738
233	0.1663114155
234	0.1662859734
235	0.1660937851
236	0.1660752674
237	0.1660616848
238	0.1659905713
239	0.1658439796
240	0.1656231532
241	0.1655907257
242	0.1653896475
243	0.16536013
244	0.1652356085
245	0.1652218552
246	0.1650976169
247	0.1649601491
248	0.1649237739
249	0.16480605
250	0.1646891454
251	0.164661211
252	0.1645560889
253	0.1645309454
254	0.164451145
255	0.1644073488
256	0.1643642622
257	0.1642586975
258	0.1642268352
259	0.1641580533
260	0.1641432477
261	0.1640471565
262	0.1639595818
263	0.163789833
264	0.163741014
265	0.1636794713
266	0.1635941686
267	0.1634511731
268	0.163291182
269	0.1631926027
270	0.1631438838
271	0.1629862346
272	0.1629265075
273	0.1628561702
274	0.1626550381
275	0.1626111428
276	0.1625622868
277	0.1625456963
278	0.1624840162
279	0.1623910253
280	0.162283269
281	0.1621932082
282	0.162168029
283	0.1620769851
284	0.1619774356
285	0.1619552391
286	0.1618719506
287	0.1616988839
288	0.1616380865
289	0.1615855987
290	0.1615190236
291	0.1614977842
292	0.1612939249
293	0.161272937
294	0.1612391436
295	0.1611693696
296	0.161031452
297	0.1609517507
298	0.1609093728
299	0.1608711355
300	0.1607609742
301	0.1607259111
302	0.1606773569
303	0.1606634491
304	0.160524474
305	0.1604670751
306	0.1604576717
307	0.1604270066
308	0.1603569528
309	0.1603310274
310	0.1602998974
311	0.1602422834
312	0.1601479279
313	0.1601283253
314	0.1600401493
315	0.1600054189
316	0.1599260593
317	0.1598743353
318	0.1598400751
319	0.1597454253
320	0.1596827999
321	0.159658339
322	0.1596481917
323	0.159571214
324	0.159532284
325	0.1594965239
326	0.1594813062
327	0.159392806
328	0.1593045753
329	0.1592594779
330	0.1592173705
331	0.1591448025
332	0.1590858954
333	0.1590064763
334	0.1589704904
335	0.158863198
336	0.1588203659
337	0.1587661451
338	0.158701539
339	0.1586621174
340	0.1585698848
341	0.1585015948
342	0.1583971687
343	0.1583608799
344	0.1582667679
345	0.1582118243
346	0.1581550685
347	0.1581213561
348	0.1580913761
349	0.1580769377
350	0.1580229346
351	0.1579704095
352	0.157948244
353	0.1578991567
354	0.1578351416
355	0.1576935212
356	0.1576619951
357	0.157590486
358	0.1575480291
359	0.1574863226
360	0.1574297932
361	0.1574104348
362	0.1573340046
363	0.1573017171
364	0.1572887985
365	0.1572622531
366	0.1571889014
367	0.1571465339
368	0.1570653965
369	0.1570004238
370	0.1569752901
371	0.1569353801
372	0.1568531501
373	0.1567533447
374	0.1566789462
375	0.1566313235
376	0.1566128113
377	0.1565338111
378	0.156474017
379	0.1563237312
380	0.1562607958
381	0.1562480885
382	0.1562270738
383	0.1561406125
384	0.1560653299
385	0.1560211184
386	0.1559736132
387	0.1559493148
388	0.1558339619
389	0.1557196154
390	0.1556192845
391	0.1555506941
392	0.1554833861
393	0.1554509823
394	0.1554179916
395	0.155333133
396	0.1552818847
397	0.1551714113
398	0.1550972583
399	0.155056497
400	0.1550473067
401	0.154981199
402	0.1549659645
403	0.1549433877
404	0.1549070738
405	0.1547758067
406	0.1547477103
407	0.154700778
408	0.1546738744
409	0.1546308731
410	0.1545496075
411	0.1545292253
412	0.1544439558
413	0.1543829327
414	0.1543347877
415	0.154259611
416	0.1542344455
417	0.1541790675
418	0.1541347414
419	0.1541204465
420	0.1540063822
421	0.1539721302
422	0.1539340402
423	0.1538759747
424	0.1538498684
425	0.1538317339
426	0.1537406445
427	0.1536977165
428	0.1536819692
429	0.1536703349
430	0.1536451324
431	0.1535828255
432	0.1535387582
433	0.1534887603
434	0.1534460835
435	0.1534253385
436	0.1533583685
437	0.1532783134
438	0.1532313223
439	0.1532079151
440	0.1531773593
441	0.1531277651
442	0.1530236206
443	0.1529263109
444	0.1528987556
445	0.1528595292
446	0.1528217928
447	0.1527586775
448	0.1527446074
449	0.1527071371
450	0.1526835564
451	0.152602155
452	0.1525858152
453	0.1524989414
454	0.1524263004
455	0.1523892727
456	0.1523467293
457	0.1522490966
458	0.1521607144
459	0.1521083704
460	0.1520378701
461	0.1520130008
462	0.1519912428
463	0.1519157127
464	0.1518280272
465	0.1517912538
466	0.1516492552
467	0.1516145158
468	0.1515856151
469	0.1515593863
470	0.1514996435
471	0.151423217
472	0.1513829946
473	0.1513210636
474	0.1512654252
475	0.1512259494
476	0.1511941406
477	0.1511399961
478	0.1510427669
479	0.1509786591
480	0.1509385282
481	0.1509191421
482	0.1508910471
483	0.1508543959
484	0.1508271177
485	0.1507912916
486	0.1507637567
487	0.1506395046
488	0.150599293
489	0.1505092705
490	0.1504606075
491	0.1504231069
492	0.1503713055
493	0.1503313826
494	0.1502809023
495	0.1502492454
496	0.1502093711
497	0.1501529721
498	0.1500766983
499	0.150030642
500	0.1500033646
501	0.1499587345
502	0.1499536581
503	0.1499234933
504	0.1498510508
505	0.1497751074
506	0.149736696
507	0.1497168163
508	0.1496456606
509	0.1495903268
510	0.1495804874
511	0.1495479563
512	0.1495139286
513	0.1494678163
514	0.1494211816
515	0.1493800304
516	0.1493451562
517	0.1493315533
518	0.1492709387
519	0.1491868099
520	0.1491263421
521	0.1490450187
522	0.1490125548
523	0.1489588804
524	0.1489344032
525	0.1489111896
526	0.1488852653
527	0.1488618028
528	0.1487943202
529	0.14877519
530	0.1487117284
531	0.1486822343
532	0.1486251776
533	0.1485707981
534	0.1485561748
535	0.1484936319
536	0.1484269223
537	0.1483972242
538	0.1483609674
539	0.1483341691
540	0.1483144112
541	0.1482989091
542	0.1482671235
543	0.1482293068
544	0.1481925633
545	0.148176489
546	0.1481590644
547	0.1480811139
548	0.1480685323
549	0.1479996094
550	0.1479567756
551	0.1479463411
552	0.1479232611
553	0.1478541616
554	0.1478027495
555	0.147778914
556	0.1477637253
557	0.1477501153
558	0.1477321227
559	0.1477076426
560	0.1477006386
561	0.1476810217
562	0.1476336527
563	0.1475965184
564	0.1475491199
565	0.147519264
566	0.1474945756
567	0.1474791264
568	0.1474303297
569	0.1473786475
570	0.147360105
571	0.1473118204
572	0.1472574894
573	0.1472244546
574	0.1472020362
575	0.1471864245
576	0.1471508689
577	0.1471268068
578	0.1470735514
579	0.1470337193
580	0.1469965483
581	0.1469017111
582	0.1468831887
583	0.1468425241
584	0.1468277083
585	0.1468104485
586	0.1467433439
587	0.1467099424
588	0.146684907
589	0.1466681013
590	0.1466416104
591	0.1465792013
592	0.146551188
593	0.1464660424
594	0.146418757
595	0.1464063949
596	0.1463629704
597	0.1463250976
598	0.1462900631
599	0.1462561276
600	0.1462223151
601	0.1461858221
602	0.1461567175
603	0.1461225665
604	0.1460982886
605	0.1460541976
606	0.1460030523
607	0.1459763079
608	0.1459629096
609	0.1458892694
610	0.1458641002
611	0.1458449767
612	0.1458305614
613	0.1458115519
614	0.1457678369
615	0.145748136
616	0.1457188244
617	0.1456969531
618	0.1456863488
619	0.1456212251
620	0.1455985832
621	0.1455744761
622	0.145547747
623	0.1455334726
624	0.1455192239
625	0.1454928334
626	0.1454705043
627	0.1454500221
628	0.1454004895
629	0.1453835925
630	0.1453782813
631	0.1452318671
632	0.1452158667
633	0.1451845246
634	0.1451071529
635	0.145087116
636	0.1450728663
637	0.1450021709
638	0.1449559007
639	0.1449464499
640	0.1449070542
641	0.1448524988
642	0.1448359606
643	0.144816519
644	0.1447714604
645	0.1447435827
646	0.1447215549
647	0.1446845864
648	0.1446732062
649	0.1446297689
650	0.14460101
651	0.144592204
652	0.1445501246
653	0.1445128973
654	0.1444976814
655	0.1444299298
656	0.1443943909
657	0.1443792778
658	0.1443283655
659	0.1443075684
660	0.1442920859
661	0.1442615842
662	0.1442210333
663	0.1441982147
664	0.1441743937
665	0.1441628411
666	0.1441419614
667	0.1441065273
668	0.1439683642
669	0.1439342762
670	0.1439071313
671	0.1438449516
672	0.1438188555
673	0.1437853019
674	0.1437607981
675	0.143670967
676	0.1436432069
677	0.1436002963
678	0.1435699773
679	0.1435134206
680	0.1434776742
681	0.1434531314
682	0.1434231414
683	0.1433918835
684	0.1433738099
685	0.1433575782
686	0.1433315922
687	0.1432945
688	0.1432630687
689	0.143206805
690	0.1431835384
691	0.1431657413
692	0.1431478746
693	0.1431321098
694	0.1431103459
695	0.1430819891
696	0.1430613945
697	0.1430257204
698	0.1430037016
699	0.1429885638
700	0.1429755224
701	0.1429571762
702	0.1429456368
703	0.1428487769
704	0.1428242217
705	0.1428107785
706	0.1427720109
707	0.1427188873
708	0.1426673274
709	0.1426492769
710	0.1426342406
711	0.142615247
712	0.1426019822
713	0.1425929217
714	0.1425467166
715	0.1425352023
716	0.1424522376
717	0.1424317406
718	0.1424259263
719	0.1424063285
720	0.1423832751
721	0.1423504062
722	0.1423320819
723	0.142319238
724	0.1423030861
725	0.1422867211
726	0.1422622574
727	0.1422442892
728	0.1421902743
729	0.1421822177
730	0.1421626662
731	0.1421244245
732	0.1421089278
733	0.1420664091
734	0.142051143
735	0.1420214484
736	0.1420060125
737	0.1419863541
738	0.1419665834
739	0.1419483213
740	0.1419324296
741	0.1419099753
742	0.1418625162
743	0.1418344961
744	0.1418083566
745	0.1418007649
746	0.1417767675
747	0.1417119164
748	0.1416668232
749	0.1416547179
750	0.1416294545
751	0.14161099
752	0.141596316
753	0.1415557065
754	0.1415123445
755	0.1414335956
756	0.1414016832
757	0.1413342807
758	0.1413097874
759	0.1412345903
760	0.1412180852
761	0.1411535933
762	0.1411375987
763	0.1411149818
764	0.1410901619
765	0.1410582637
766	0.141026494
767	0.1409672794
768	0.140940773
769	0.1409322533
770	0.1408926152
771	0.1408803359
772	0.1408287876
773	0.1408049677
774	0.140784096
775	0.1407606122
776	0.1407475554
777	0.1407252622
778	0.1407138466
779	0.1406918102
780	0.1406719356
781	0.1406369273
782	0.1406063352
783	0.1405784431
784	0.140558191
785	0.1405279072
786	0.1405099754
787	0.1404978778
788	0.1404803127
789	0.1404584543
790	0.1404321132
791	0.1403802589
792	0.1403418859
793	0.140327016
794	0.1403036773
795	0.1402884426
796	0.1402652691
797	0.1402292419
798	0.1401916006
799	0.1401806036
800	0.1401376853
801	0.1401256701
802	0.1401037698
803	0.140099628
804	0.1400426018
805	0.1400111856
806	0.1399767071
807	0.1399558002
808	0.139927185
809	0.1399132681
810	0.1399050116
811	0.1398947454
812	0.1398869478
813	0.1398739714
814	0.1398458826
815	0.1398181485
816	0.1398047058
817	0.1397950557
818	0.1397786823
819	0.1397430494
820	0.1397378097
821	0.1397044292
822	0.1396779753
823	0.139658059
824	0.1396366729
825	0.1396141149
826	0.1395822994
827	0.1395313533
828	0.1395070867
